freebase_id,name,model,date_manufactured,first_flight
/m/0h82947,C-54Q,Douglas DC-4,,
/m/0cn_t_9,Meckler-Allen 1912 Biplane,,,
/m/02vw7b0,Beautiful Betsy,Consolidated B-24 Liberator,,
/m/0h58ct0,Galloping Ghost,P-51 Mustang,1944,1944
/m/02q_y63,Luke the Spook,,,
/m/05c3jv3,Dakota Queen,,,
/m/027ylph,Shoo Shoo Baby,,,
/m/027xmrt,Piccadilly Lilly II,,,
/m/02q_6d4,Strange Cargo,,,
/m/02799g7,Question Mark,,,
/m/027qv0p,The Swoose,,,
/m/03k91m,Lituanica,,,
/m/0fr93y,Necessary Evil,,,
/m/02m5s,Enola Gay,B-29 Superfortress,1945-05-18,
/m/0cvjtgn,Spruce Goose,Hughes H-4 Hercules,,1947-11-02
/m/0dvf3h,PK-AFV,,,
/m/0cdl99,Liberty Belle,,,
/m/027xyg9,Sally B,,,
/m/02695pv,Double Eagle V,,,
/m/0h8297t,R-4D,Douglas DC-3,,
/m/02q_57c,Top Secret,,,
/m/026lt_,Vin Fiz Flyer,,,
/m/0463v5g,Lethal Lady,,,
/m/03nxh2c,Gwiazda Polski,,,
/m/09kr0z,Breitling Orbiter 3,,,
/m/0bmkhh,Finito Benito,B-25 Mitchell,,
/m/04gghx9,Solar Challenger,,,
/m/04647n7,Caesar's Chariot,,,
/m/05zty7_,USSR-1,,,
/m/02z4zff,DHL Balloon,,,
/m/026g9cf,Spirit of Dubai,,,
/m/0fyg0t,Some Punkins,,,
/m/0fbt7,LZ 129 Hindenburg,Hindenburg class airship,1936,1936-03-04
/m/02qz_jd,Next Objective,,,
/m/04x75f,Wright Flyer III,,,1905-06-23
/m/04yg64z,The Free Life,,,
/m/04gx31,N44982,,,
/m/0dlpw3,The Starship,,,
/m/0269f0b,Double Eagle I,,,
/m/018sk0,Bockscar,B-29 Superfortress,,
/m/025rr06,VSS Enterprise,SpaceShipTwo,,
/m/0fr8nd,Jabit III,B-29 Superfortress,,
/m/043lr11,Gossamer Penguin,,,
/m/03y9cb6,Intrepid,,,
/m/07wkbt,Southern Cross,,,
/m/0h8296h,Heliocourier (WHOI),Helio Courier,,
/m/0cp7gx,N900SA,,,
/m/0bsbnz,Santos-Dumont number 6,,,
/m/02r6f4h,Aluminum Overcast,B-17 Flying Fortress,,
/m/05mv2qh,Stargazer,,,
/m/07kbgbb,Lucky Lady II,,,
/m/02r98pp,Swamp Ghost,,,
/m/02pthhk,Old 666,,,
/m/02wlc4,Gossamer Condor,,,1977
/m/097ply,Lady be Good,Consolidated B-24 Liberator,,
/m/05s_gxk,Osoaviakhim-1,,,
/m/08dj4x,T1-323,,,
/m/027xlvx,Thunderbird,,,
/m/027xwwd,Nine-O-Nine,,,
/m/01r3mq,The Great Artiste,B-29 Superfortress,,
/m/03tm1n,Samoan Clipper,,,
/m/02rtcyt,G-BDXJ,,,
/m/01_6sf,Spirit of St. Louis,Ryan NYP,1927,1927-04-28
/m/07s4xq_,Bravo November,,,
/m/04h3fm,Norge,,,
/m/081h4l,Enterprise,,,
/m/06427ql,Lockheed PV-2 Harpoon No. 37396,Lockheed PV-2 Harpoon,,
/m/03nq4lj,The Ruptured Duck,,,
/m/0849g0,Wright Flyer II,,,1904
/m/0g5m2f,Flak Bait,B-26 Marauder,,
/m/06s12z,G-BBDG,,,
/m/02rwg9k,VC-137C SAM 27000,,,
/m/0288npj,Lady Southern Cross,,,
/m/028636t,My Gal Sal,,,
/m/07kb65f,Hawker Hurricane PZ865,,,
/m/0h8296x,PBY6A,PBY Catalina,,
/m/02q8n_h,Bataan 1 and Bataan 2,Mitsubishi G4M,,
/m/0923kv,Straight Flush,,,
/m/03x477,G for George,Avro Lancaster,,
/m/05nyts,Double Eagle II,,,
/m/05q9878,PSU Zephyrus,,,
/m/0fr8hx,Full House,B-29 Superfortress,,
/m/0zz8_,Gossamer Albatross,,,
/m/02rxf8l,Glacier Girl,P-38 Lightning,,
/m/03hhgk_,MacRobert's Reply,,,
/m/0bt41w,Langley Aerodrome,,,
/m/08l9v3,America,Fokker C-2,,
/m/0gn53z,The Pink Lady,,,
/m/026cfk4,Kee Bird,,,
/m/0fr9h9,Laggin' Dragon,,,
/m/01n6mw,QinetiQ 1,,,
/m/0286sl2,Sentimental Journey,,,
/m/0fr9c5,Up An' Atom,,,
/m/02r85tm,Bristol Belle,,,
/m/0czz9f,Lonesome Polecat II,,,
/m/02rwg9x,VC-137C SAM 26000,,,
/m/0fr9pk,Big Stink,B-29 Superfortress,,
/m/0gwnc5x,Boeing ZA001,Boeing 787-8,,2009-12-15
/m/022yqs,NC-4,,,
/m/0269dsf,Tingmissartoq,,,
/m/04gwg6d,VMS Eve,Scaled Composites White Knight Two,,
/m/051z2vs,Akutan Zero,A6M Zero,,
/m/0ch_5c,Memphis Belle,,,
